"Notes"	"Cause of death"	"Cause of death Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Streptococcal septicaemia, unspecified"	"A40.9"	"75-84 years"	"75-84"	"Male"	"M"	15	4813716	0.3 (Unreliable)
	"Streptococcal septicaemia, unspecified"	"A40.9"	"85+ years"	"85+"	"Female"	"F"	16	2960708	0.5 (Unreliable)
	"Streptococcal septicaemia, unspecified"	"A40.9"	"85+ years"	"85+"	"Male"	"M"	11	1193310	0.9 (Unreliable)
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"35-44 years"	"35-44"	"Male"	"M"	13	22407073	0.1 (Unreliable)
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"45-54 years"	"45-54"	"Female"	"F"	22	18632305	0.1
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"45-54 years"	"45-54"	"Male"	"M"	32	17945514	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"55-64 years"	"55-64"	"Female"	"F"	33	12378763	0.3
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"55-64 years"	"55-64"	"Male"	"M"	23	11399263	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"65-74 years"	"65-74"	"Female"	"F"	63	10125424	0.6
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"65-74 years"	"65-74"	"Male"	"M"	91	8293485	1.1
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"75-84 years"	"75-84"	"Female"	"F"	92	7411198	1.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"75-84 years"	"75-84"	"Male"	"M"	116	4813716	2.4
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"85+ years"	"85+"	"Female"	"F"	87	2960708	2.9
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"85+ years"	"85+"	"Male"	"M"	66	1193310	5.5
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"35-44 years"	"35-44"	"Male"	"M"	18	22407073	0.1 (Unreliable)
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"45-54 years"	"45-54"	"Female"	"F"	17	18632305	0.1 (Unreliable)
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"45-54 years"	"45-54"	"Male"	"M"	31	17945514	0.2
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"55-64 years"	"55-64"	"Female"	"F"	30	12378763	0.2
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"55-64 years"	"55-64"	"Male"	"M"	43	11399263	0.4
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"65-74 years"	"65-74"	"Female"	"F"	86	10125424	0.8
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"65-74 years"	"65-74"	"Male"	"M"	89	8293485	1.1
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"75-84 years"	"75-84"	"Female"	"F"	122	7411198	1.6
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"75-84 years"	"75-84"	"Male"	"M"	113	4813716	2.3
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"85+ years"	"85+"	"Female"	"F"	113	2960708	3.8
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"85+ years"	"85+"	"Male"	"M"	75	1193310	6.3
	"Septicaemia due to anaerobes"	"A41.4"	"85+ years"	"85+"	"Female"	"F"	15	2960708	0.5 (Unreliable)
	"Septicaemia due to anaerobes"	"A41.4"	"85+ years"	"85+"	"Male"	"M"	10	1193310	0.8 (Unreliable)
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"< 1 year"	"1"	"Female"	"F"	15	1852123	0.8 (Unreliable)
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"< 1 year"	"1"	"Male"	"M"	24	1943639	1.2
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"35-44 years"	"35-44"	"Female"	"F"	10	22669604	0.0 (Unreliable)
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"35-44 years"	"35-44"	"Male"	"M"	16	22407073	0.1 (Unreliable)
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"45-54 years"	"45-54"	"Female"	"F"	29	18632305	0.2
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"45-54 years"	"45-54"	"Male"	"M"	42	17945514	0.2
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"55-64 years"	"55-64"	"Female"	"F"	52	12378763	0.4
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"55-64 years"	"55-64"	"Male"	"M"	43	11399263	0.4
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"65-74 years"	"65-74"	"Female"	"F"	76	10125424	0.8
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"65-74 years"	"65-74"	"Male"	"M"	89	8293485	1.1
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"75-84 years"	"75-84"	"Female"	"F"	127	7411198	1.7
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"75-84 years"	"75-84"	"Male"	"M"	121	4813716	2.5
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"85+ years"	"85+"	"Female"	"F"	123	2960708	4.2
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"85+ years"	"85+"	"Male"	"M"	73	1193310	6.1
	"Other specified septicaemia"	"A41.8"	"65-74 years"	"65-74"	"Female"	"F"	12	10125424	0.1 (Unreliable)
	"Other specified septicaemia"	"A41.8"	"65-74 years"	"65-74"	"Male"	"M"	15	8293485	0.2 (Unreliable)
	"Other specified septicaemia"	"A41.8"	"75-84 years"	"75-84"	"Female"	"F"	27	7411198	0.4
	"Other specified septicaemia"	"A41.8"	"75-84 years"	"75-84"	"Male"	"M"	22	4813716	0.5
	"Other specified septicaemia"	"A41.8"	"85+ years"	"85+"	"Female"	"F"	21	2960708	0.7
	"Other specified septicaemia"	"A41.8"	"85+ years"	"85+"	"Male"	"M"	16	1193310	1.3 (Unreliable)
	"Septicaemia, unspecified"	"A41.9"	"< 1 year"	"1"	"Female"	"F"	69	1852123	3.7
	"Septicaemia, unspecified"	"A41.9"	"< 1 year"	"1"	"Male"	"M"	113	1943639	5.8
	"Septicaemia, unspecified"	"A41.9"	"1-4 years"	"1-4"	"Female"	"F"	28	7493614	0.4
	"Septicaemia, unspecified"	"A41.9"	"1-4 years"	"1-4"	"Male"	"M"	37	7846168	0.5
	"Septicaemia, unspecified"	"A41.9"	"5-9 years"	"5-9"	"Female"	"F"	14	10052618	0.1 (Unreliable)
	"Septicaemia, unspecified"	"A41.9"	"5-9 years"	"5-9"	"Male"	"M"	16	10553842	0.2 (Unreliable)
	"Septicaemia, unspecified"	"A41.9"	"10-14 years"	"10-14"	"Female"	"F"	10	9855664	0.1 (Unreliable)
	"Septicaemia, unspecified"	"A41.9"	"10-14 years"	"10-14"	"Male"	"M"	12	10357700	0.1 (Unreliable)
	"Septicaemia, unspecified"	"A41.9"	"15-19 years"	"15-19"	"Female"	"F"	11	9761569	0.1 (Unreliable)
	"Septicaemia, unspecified"	"A41.9"	"15-19 years"	"15-19"	"Male"	"M"	14	10323033	0.1 (Unreliable)
	"Septicaemia, unspecified"	"A41.9"	"20-24 years"	"20-24"	"Female"	"F"	31	9098615	0.3
	"Septicaemia, unspecified"	"A41.9"	"20-24 years"	"20-24"	"Male"	"M"	44	9492814	0.5
	"Septicaemia, unspecified"	"A41.9"	"25-34 years"	"25-34"	"Female"	"F"	109	19945090	0.5
	"Septicaemia, unspecified"	"A41.9"	"25-34 years"	"25-34"	"Male"	"M"	121	20233316	0.6
	"Septicaemia, unspecified"	"A41.9"	"35-44 years"	"35-44"	"Female"	"F"	297	22669604	1.3
	"Septicaemia, unspecified"	"A41.9"	"35-44 years"	"35-44"	"Male"	"M"	376	22407073	1.7
	"Septicaemia, unspecified"	"A41.9"	"45-54 years"	"45-54"	"Female"	"F"	653	18632305	3.5
	"Septicaemia, unspecified"	"A41.9"	"45-54 years"	"45-54"	"Male"	"M"	754	17945514	4.2
	"Septicaemia, unspecified"	"A41.9"	"55-64 years"	"55-64"	"Female"	"F"	1125	12378763	9.1
	"Septicaemia, unspecified"	"A41.9"	"55-64 years"	"55-64"	"Male"	"M"	1255	11399263	11.0
	"Septicaemia, unspecified"	"A41.9"	"65-74 years"	"65-74"	"Female"	"F"	2526	10125424	24.9
	"Septicaemia, unspecified"	"A41.9"	"65-74 years"	"65-74"	"Male"	"M"	2569	8293485	31.0
	"Septicaemia, unspecified"	"A41.9"	"75-84 years"	"75-84"	"Female"	"F"	4802	7411198	64.8
	"Septicaemia, unspecified"	"A41.9"	"75-84 years"	"75-84"	"Male"	"M"	3961	4813716	82.3
	"Septicaemia, unspecified"	"A41.9"	"85+ years"	"85+"	"Female"	"F"	5935	2960708	200.5
	"Septicaemia, unspecified"	"A41.9"	"85+ years"	"85+"	"Male"	"M"	2504	1193310	209.8
	"Legionnaires disease"	"A48.1"	"65-74 years"	"65-74"	"Male"	"M"	13	8293485	0.2 (Unreliable)
	"Legionnaires disease"	"A48.1"	"75-84 years"	"75-84"	"Male"	"M"	13	4813716	0.3 (Unreliable)
	"Toxic shock syndrome"	"A48.3"	"35-44 years"	"35-44"	"Female"	"F"	10	22669604	0.0 (Unreliable)
	"Staphylococcal infection, unspecified"	"A49.0"	"55-64 years"	"55-64"	"Female"	"F"	12	12378763	0.1 (Unreliable)
	"Staphylococcal infection, unspecified"	"A49.0"	"55-64 years"	"55-64"	"Male"	"M"	19	11399263	0.2 (Unreliable)
	"Staphylococcal infection, unspecified"	"A49.0"	"65-74 years"	"65-74"	"Female"	"F"	35	10125424	0.3
	"Staphylococcal infection, unspecified"	"A49.0"	"65-74 years"	"65-74"	"Male"	"M"	43	8293485	0.5
	"Staphylococcal infection, unspecified"	"A49.0"	"75-84 years"	"75-84"	"Female"	"F"	51	7411198	0.7
	"Staphylococcal infection, unspecified"	"A49.0"	"75-84 years"	"75-84"	"Male"	"M"	66	4813716	1.4
	"Staphylococcal infection, unspecified"	"A49.0"	"85+ years"	"85+"	"Female"	"F"	64	2960708	2.2
	"Staphylococcal infection, unspecified"	"A49.0"	"85+ years"	"85+"	"Male"	"M"	45	1193310	3.8
	"Streptococcal infection, unspecified"	"A49.1"	"45-54 years"	"45-54"	"Female"	"F"	13	18632305	0.1 (Unreliable)
	"Streptococcal infection, unspecified"	"A49.1"	"45-54 years"	"45-54"	"Male"	"M"	10	17945514	0.1 (Unreliable)
	"Streptococcal infection, unspecified"	"A49.1"	"75-84 years"	"75-84"	"Female"	"F"	15	7411198	0.2 (Unreliable)
	"Streptococcal infection, unspecified"	"A49.1"	"75-84 years"	"75-84"	"Male"	"M"	10	4813716	0.2 (Unreliable)
	"Streptococcal infection, unspecified"	"A49.1"	"85+ years"	"85+"	"Female"	"F"	18	2960708	0.6 (Unreliable)
	"Other bacterial infections of unspecified site"	"A49.8"	"65-74 years"	"65-74"	"Female"	"F"	13	10125424	0.1 (Unreliable)
	"Other bacterial infections of unspecified site"	"A49.8"	"65-74 years"	"65-74"	"Male"	"M"	13	8293485	0.2 (Unreliable)
	"Other bacterial infections of unspecified site"	"A49.8"	"75-84 years"	"75-84"	"Female"	"F"	27	7411198	0.4
	"Other bacterial infections of unspecified site"	"A49.8"	"75-84 years"	"75-84"	"Male"	"M"	23	4813716	0.5
	"Other bacterial infections of unspecified site"	"A49.8"	"85+ years"	"85+"	"Female"	"F"	25	2960708	0.8
	"Other bacterial infections of unspecified site"	"A49.8"	"85+ years"	"85+"	"Male"	"M"	14	1193310	1.2 (Unreliable)
	"Bacterial infection, unspecified"	"A49.9"	"45-54 years"	"45-54"	"Female"	"F"	14	18632305	0.1 (Unreliable)
	"Bacterial infection, unspecified"	"A49.9"	"45-54 years"	"45-54"	"Male"	"M"	23	17945514	0.1
	"Bacterial infection, unspecified"	"A49.9"	"55-64 years"	"55-64"	"Female"	"F"	20	12378763	0.2
	"Bacterial infection, unspecified"	"A49.9"	"55-64 years"	"55-64"	"Male"	"M"	27	11399263	0.2
	"Bacterial infection, unspecified"	"A49.9"	"65-74 years"	"65-74"	"Female"	"F"	53	10125424	0.5
	"Bacterial infection, unspecified"	"A49.9"	"65-74 years"	"65-74"	"Male"	"M"	69	8293485	0.8
	"Bacterial infection, unspecified"	"A49.9"	"75-84 years"	"75-84"	"Female"	"F"	99	7411198	1.3
	"Bacterial infection, unspecified"	"A49.9"	"75-84 years"	"75-84"	"Male"	"M"	96	4813716	2.0
	"Bacterial infection, unspecified"	"A49.9"	"85+ years"	"85+"	"Female"	"F"	127	2960708	4.3
	"Bacterial infection, unspecified"	"A49.9"	"85+ years"	"85+"	"Male"	"M"	59	1193310	4.9
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"45-54 years"	"45-54"	"Female"	"F"	13	18632305	0.1 (Unreliable)
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"55-64 years"	"55-64"	"Female"	"F"	40	12378763	0.3
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"55-64 years"	"55-64"	"Male"	"M"	31	11399263	0.3
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"65-74 years"	"65-74"	"Female"	"F"	45	10125424	0.4
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"65-74 years"	"65-74"	"Male"	"M"	41	8293485	0.5
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"75-84 years"	"75-84"	"Female"	"F"	38	7411198	0.5
	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	"75-84 years"	"75-84"	"Male"	"M"	21	4813716	0.4
	"Unspecified viral encephalitis"	"A86"	"65-74 years"	"65-74"	"Female"	"F"	12	10125424	0.1 (Unreliable)
	"Unspecified viral encephalitis"	"A86"	"75-84 years"	"75-84"	"Female"	"F"	17	7411198	0.2 (Unreliable)
	"Herpesviral encephalitis"	"B00.4"	"65-74 years"	"65-74"	"Female"	"F"	15	10125424	0.1 (Unreliable)
	"Herpesviral encephalitis"	"B00.4"	"75-84 years"	"75-84"	"Female"	"F"	13	7411198	0.2 (Unreliable)
	"Zoster with other nervous system involvement"	"B02.2"	"85+ years"	"85+"	"Female"	"F"	14	2960708	0.5 (Unreliable)
	"Zoster without complication"	"B02.9"	"75-84 years"	"75-84"	"Female"	"F"	11	7411198	0.1 (Unreliable)
	"Zoster without complication"	"B02.9"	"75-84 years"	"75-84"	"Male"	"M"	10	4813716	0.2 (Unreliable)
	"Zoster without complication"	"B02.9"	"85+ years"	"85+"	"Female"	"F"	49	2960708	1.7
	"Zoster without complication"	"B02.9"	"85+ years"	"85+"	"Male"	"M"	10	1193310	0.8 (Unreliable)
	"Hepatitis A without hepatic coma"	"B15.9"	"35-44 years"	"35-44"	"Male"	"M"	10	22407073	0.0 (Unreliable)
	"Hepatitis A without hepatic coma"	"B15.9"	"45-54 years"	"45-54"	"Male"	"M"	15	17945514	0.1 (Unreliable)
	"Hepatitis A without hepatic coma"	"B15.9"	"65-74 years"	"65-74"	"Female"	"F"	14	10125424	0.1 (Unreliable)
	"Hepatitis A without hepatic coma"	"B15.9"	"65-74 years"	"65-74"	"Male"	"M"	13	8293485	0.2 (Unreliable)
	"Hepatitis A without hepatic coma"	"B15.9"	"75-84 years"	"75-84"	"Female"	"F"	12	7411198	0.2 (Unreliable)
	"Hepatitis A without hepatic coma"	"B15.9"	"75-84 years"	"75-84"	"Male"	"M"	14	4813716	0.3 (Unreliable)
	"Hepatitis A without hepatic coma"	"B15.9"	"85+ years"	"85+"	"Female"	"F"	16	2960708	0.5 (Unreliable)
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"25-34 years"	"25-34"	"Male"	"M"	12	20233316	0.1 (Unreliable)
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"35-44 years"	"35-44"	"Female"	"F"	29	22669604	0.1
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"35-44 years"	"35-44"	"Male"	"M"	80	22407073	0.4
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"45-54 years"	"45-54"	"Female"	"F"	37	18632305	0.2
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"45-54 years"	"45-54"	"Male"	"M"	156	17945514	0.9
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"55-64 years"	"55-64"	"Female"	"F"	36	12378763	0.3
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"55-64 years"	"55-64"	"Male"	"M"	91	11399263	0.8
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"65-74 years"	"65-74"	"Female"	"F"	43	10125424	0.4
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"65-74 years"	"65-74"	"Male"	"M"	82	8293485	1.0
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"75-84 years"	"75-84"	"Female"	"F"	33	7411198	0.4
	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	"75-84 years"	"75-84"	"Male"	"M"	34	4813716	0.7
	"Acute hepatitis C"	"B17.1"	"25-34 years"	"25-34"	"Female"	"F"	22	19945090	0.1
	"Acute hepatitis C"	"B17.1"	"25-34 years"	"25-34"	"Male"	"M"	28	20233316	0.1
	"Acute hepatitis C"	"B17.1"	"35-44 years"	"35-44"	"Female"	"F"	133	22669604	0.6
	"Acute hepatitis C"	"B17.1"	"35-44 years"	"35-44"	"Male"	"M"	355	22407073	1.6
	"Acute hepatitis C"	"B17.1"	"45-54 years"	"45-54"	"Female"	"F"	274	18632305	1.5
	"Acute hepatitis C"	"B17.1"	"45-54 years"	"45-54"	"Male"	"M"	814	17945514	4.5
	"Acute hepatitis C"	"B17.1"	"55-64 years"	"55-64"	"Female"	"F"	199	12378763	1.6
	"Acute hepatitis C"	"B17.1"	"55-64 years"	"55-64"	"Male"	"M"	300	11399263	2.6
	"Acute hepatitis C"	"B17.1"	"65-74 years"	"65-74"	"Female"	"F"	298	10125424	2.9
	"Acute hepatitis C"	"B17.1"	"65-74 years"	"65-74"	"Male"	"M"	247	8293485	3.0
	"Acute hepatitis C"	"B17.1"	"75-84 years"	"75-84"	"Female"	"F"	209	7411198	2.8
